"RSN","YEAR","Region","M","Dip","Rake","Ztor","Zhyp","Rjb","Rrup","Rx","Vs30","Z25","Z10","W","Fnm","Frv","A1100","LUF","HUF","T10p000","T07p500","T05p000","T04p000","T03p000","T02p000","T01p500","T01p000","T00p750","T00p500","T00p400","T00p300","T00p250","T00p200","T00p150","T00p100","T00p075","T00p050","EQID","SSN"
28,1966,1,6.19,90,180,0,10,17.64,17.64,15.1,408.93,-999,-999,12,0,0,0.1323,0.125,16,NA,0.701246338577532,0.185418179233048,0.598220674989366,0.86281626971552,0.79328665427081,0.493683999793458,-0.0955582157721677,-0.872327252073537,-0.355773314033776,-0.728058888678382,-0.591899670126984,-0.582731265909533,-0.853331077232811,-0.795752672480686,-0.501408575730295,-0.291053842094335,NA,25,131
30,1966,1,6.19,90,180,0,10,9.58,9.58,5.8,289.56,1.08,-999,12,0,0,0.2388,0.1625,16,NA,NA,-0.805822709043499,-0.194586706303657,-0.231612961829963,-0.0487405525454845,-0.615931609447168,0.326993965956407,0.040535638594688,0.566396101013598,0.721993770915131,0.815667915053726,0.0440651703125923,0.0531055534144693,-0.461580316332804,0.38300167337739,-0.229259548594195,NA,25,127
31,1966,1,6.19,90,180,0,10,12.9,12.9,9.74,256.82,-999,-999,12,0,0,0.1826,0.125,16,NA,0.176270311480749,-0.671622380262631,-0.0195613947008315,-0.320900780778886,-0.282006592188881,-0.404080954048183,-0.131152743749823,0.0311824635395856,0.482359954620598,0.0900766001664088,-0.166136802987038,-0.31858193782613,0.35579925853343,0.611469348260131,-0.126398334886628,-0.0684633871760347,NA,25,129
33,1966,1,6.19,90,180,0,10,15.96,15.96,-6.84,527.92,-999,-999,12,0,0,0.1472,0.1875,12.08,NA,NA,0.0294655529094037,0.0957588502439348,-0.273337570890646,0.235567654687967,0.149966038135932,0.730010037994736,-0.288443588056667,0.404835167685491,1.19344684841612,0.35141680012912,0.823605656353309,-0.0602043895819833,-0.127569357922394,-0.569704862558526,NA,NA,25,162
51,1971,1,6.61,50,83,0,13,55.2,55.2,-54.51,280.56,0.78,0.32,27.4,0,1,0.0476,0.25,16,NA,NA,NA,0.470290650796507,0.397315588425855,-1.23941660529039,0.19968399014603,-0.0674227861486738,-0.786256154583269,-0.998870811685355,-0.416095227617323,-0.972617113086934,-0.949728618440981,-0.675358220689899,-0.9043177876536,-1.0385147588218,-1.12793401267927,NA,30,3
56,1971,1,6.61,50,83,0,13,61.79,61.79,-29.31,235,3.02,0.36,27.4,0,1,0.042,0.625,16,NA,NA,NA,NA,NA,NA,-1.4892790438536,-1.52881013391442,-0.458135197008367,-0.561775517390588,-0.0921739756918907,0.496960333611977,0.521761704110509,-0.270585530172553,0.192121619693135,0.201526246951843,0.234412642692314,NA,30,71
57,1971,1,6.61,50,83,0,13,19.33,22.63,13.01,450.28,1.52,0.32,27.4,0,1,0.1374,0.375,28,NA,NA,NA,NA,NA,0.114340574823107,0.519285840427902,0.849462313425111,0.848658099109945,0.594770492155774,0.645354665888651,0.120567264344358,0.416009087271426,0.59301832805655,0.788621889525589,0.639546373382737,0.302863528332522,0.206142312381783,30,323
63,1971,1,6.61,50,83,0,13,25.58,30.19,34.4,634.33,-999,-999,27.4,0,1,0.1004,0.1875,28,NA,NA,-0.513128780739384,-0.43206927023596,-0.272790721207509,-0.679568557478095,-0.555634047841305,-0.422549376560906,-0.239679680521042,-0.902765903726906,-1.29343399714888,-0.0610978271125271,0.361653014657391,-0.219106819556209,-0.225920655801204,-0.307621404252456,-0.359761364157039,0.297565845162094,30,76
68,1971,1,6.61,50,83,0,13,22.77,22.77,-22.3,316.46,5.14,0.32,27.4,0,1,0.1439,0.1,28,-0.424573041535345,-0.38378475066408,0.758980641381199,0.631129621490345,-0.0361370964919838,-0.1577679567786,0.12110318691856,-0.622671247751857,-1.43930412473186,-0.277970053284812,0.0493703318126144,0.0859570467393089,0.401146635835665,0.184699168265902,0.188720155119769,0.88308446527367,0.703993795093271,0.581854390878354,30,326
70,1971,1,6.61,50,83,0,13,22.23,27.4,31.14,425.34,-999,-999,27.4,0,1,0.1142,0.15,28,NA,NA,-0.387990757031146,-1.3318085487238,-0.513443753208621,-0.332113134634301,0.231938105079889,0.853649488716591,0.684373740598708,0.035517879418995,-0.583945856587463,-0.0696677281829006,-0.207168933061975,-0.607480800007746,0.0859767670084963,-0.326394281998514,0.245423752589049,-0.150581139054353,30,320
