"RSN","YEAR","Region","M","Dip","Rake","Ztor","Zhyp","Rjb","Rrup","Rx","Vs30","Z25","Z10","W","Fnm","Frv","A1100","LUF","HUF","T10p000","T07p500","T05p000","T04p000","T03p000","T02p000","T01p500","T01p000","T00p750","T00p500","T00p400","T00p300","T00p250","T00p200","T00p150","T00p100","T00p075","T00p050","T00p030","T00p020","T00p010","PGA","PGV","CAV","AI","EQID","SSN"
28,1966,1,6.19,90,180,0,10,17.64,17.64,15.1,408.93,NA,NA,12,0,0,0.1323,0.125,16,NA,0.449621766315238,-0.010072181140341,0.190304500497013,0.234770661705998,0.171481697982059,0.179470745671194,-0.62194785006842,-0.88791973431983,-0.942253177777061,-0.97482447124357,-0.989095638951022,-0.938707225658524,-0.993476755093078,-0.89376761344742,-0.758502036945894,-0.58807209472186,-0.939010076050028,-1.00548219458892,-0.970041482023152,-0.943379637597404,-0.952041780373363,-0.458883548709965,-0.341973018163425,-1.28903819802852,25,131
30,1966,1,6.19,90,180,0,10,9.58,9.58,5.8,289.56,1.08,NA,12,0,0,0.2388,0.1625,16,NA,NA,-0.449497236463731,-0.45989445147045,-0.266908035160145,-0.0513113872596298,-0.666104345720212,-0.314293167898909,-0.210180202984748,0.574708640368129,0.706370915994775,0.689014867290122,0.32347228296078,0.325718514493111,0.187255913509591,0.188234637696495,0.178969674767801,0.152761043522086,0.287358693701395,0.309556167334143,0.343960701150216,0.343345269292219,-0.0330172134147539,-0.0795689946021726,0.0154623413390422,25,127
31,1966,1,6.19,90,180,0,10,12.9,12.9,9.74,256.82,NA,NA,12,0,0,0.1826,0.125,16,NA,-0.178623383974251,-0.508862897699714,-0.329391409611782,-0.501155783908247,-0.614443661534466,-0.643286116877681,-0.245268046243426,-0.440631382924188,-0.197723374901405,-0.192888556490525,-0.263691205417235,-0.138294366038897,0.479690281019117,0.554381039746124,0.222434406186635,0.303855902685537,0.109609791735355,0.144107790524247,0.126791106172207,0.163759035150979,0.157587498023007,-0.50285691003511,-0.287503769728298,-0.353232656821363,25,129
33,1966,1,6.19,90,180,0,10,15.96,15.96,-6.84,527.92,NA,NA,12,0,0,0.1472,0.1875,12.08,NA,NA,-0.108375812921834,0.0294773633454151,0.154950861223579,0.185550720889817,0.179002064235725,0.398149086591734,0.00117041593355083,0.720629380964195,1.2720792938294,0.889240526249766,0.876930915908104,0.669522156782907,0.275708893365162,0.12369872657694,0.122867011441704,0.279046981961162,0.47045397256542,0.545212141122914,0.582607069288153,0.584327467331531,0.425054438922504,-0.042649735207127,0.602895103335396,25,162
51,1971,1,6.61,50,83,0,13,55.2,55.2,-54.51,280.56,0.78,0.32,27.4,0,1,0.0476,0.25,16,NA,NA,NA,0.585789837341228,-0.0532684987514753,-0.695837905625237,-0.381984339770047,-0.636515658278608,-0.900092200028166,-0.844009595051692,-0.992437213278952,-0.882807411416799,-0.888184887958711,-0.723317862336669,-0.638577080675643,-1.06317180616554,-1.12027918197437,-0.986443385019006,-0.974115816006358,-0.96524335742419,-0.961832163200396,-0.955959414820281,-0.335730509380491,-0.275146668541123,-1.29628147379757,30,3
56,1971,1,6.61,50,83,0,13,61.79,61.79,-29.31,235,3.02,0.36,27.4,0,1,0.042,0.625,16,NA,NA,NA,NA,NA,NA,-1.16164303976562,-1.13699378625389,-0.815913034194494,-0.542835977260107,-0.0824461005223229,0.0143375290232326,0.325427694413793,0.00330203223455072,0.0494533091906817,0.168268466562776,0.0356845987104357,-0.0399198477243106,-0.0471375596613406,-0.060664668173561,-0.0631177774244618,-0.0582573684351244,-0.478548268878473,-0.0855806778667116,-0.0118437757150005,30,71
57,1971,1,6.61,50,83,0,13,19.33,22.63,13.01,450.28,1.52,0.32,27.4,0,1,0.1374,0.375,28,NA,NA,NA,NA,NA,-0.195290587909998,0.104256961956495,0.465367122034165,0.486090471773831,0.596069737288202,0.457126164808812,0.327273816742054,0.279263428398408,0.441421836759827,0.631574328036217,0.429781888901354,0.19122578834085,0.330382235422968,0.399671704924174,0.416085258112763,0.449477111308426,0.454722082720568,0.342455821008611,0.506056278083751,0.796915267160208,30,323
63,1971,1,6.61,50,83,0,13,25.58,30.19,34.4,634.33,NA,NA,27.4,0,1,0.1004,0.1875,28,NA,NA,-0.639036641572803,-0.752258879478681,-0.673577722846007,-0.64961387218789,-0.433652438421448,-0.2030311102503,-0.194970553861769,-0.802843742542568,-1.06894277090455,-0.360098664406807,0.218695136174875,-0.243214289420022,-0.512599659999664,-0.391747945126286,-0.361216027698446,-0.342327791258379,-0.226894971037096,-0.340304720033536,-0.308184961686909,-0.304496979579779,-0.277166126615028,-0.626697155250334,-1.16692022183966,30,76
68,1971,1,6.61,50,83,0,13,22.77,22.77,-22.3,316.46,5.14,0.32,27.4,0,1,0.1439,0.1,28,-0.252012857258161,-0.0356513698471321,0.452087020049631,0.49974469916995,0.13521389352788,-0.220291310121139,-0.0327577958171181,-0.365917787970694,-0.438943298270254,-0.300646880431245,-0.186552457949829,-0.053814628635386,0.2514836398223,0.230895453763112,0.250476535270042,0.595274922041327,0.368835231538251,0.342723983970703,0.381255202020294,0.138408455219436,0.11843499464909,0.104898804264095,-0.068547209917543,0.0206169187774691,0.0642569454928819,30,326
70,1971,1,6.61,50,83,0,13,22.23,27.4,31.14,425.34,NA,NA,27.4,0,1,0.1142,0.15,28,NA,NA,-0.805428657567104,-0.752772022001163,-0.603465818251512,-0.0895230220216368,0.237122484648282,0.780130338658139,0.475612048135073,-0.00902208292975759,-0.423252367983916,-0.409664063862098,-0.366244397156815,-0.550116979767411,-0.203371046191885,-0.452603948533818,-0.194004940503263,-0.409485730240554,-0.293055537271129,-0.305409708738499,-0.289019973069712,-0.279375925502851,0.157533185297561,-0.0113113210980115,-0.269572791083821,30,320
71,1971,1,6.61,50,83,0,13,13.99,19.3,16.3,602.1,0.32,0.32,27.4,0,1,0.1776,0.25,28,NA,NA,NA,-0.603784374838868,-0.778614544962198,-0.415310364181795,-0.476034878865606,-0.105760606367887,-0.636432976725736,-0.397530789296246,-0.00613180607685399,0.622812647140691,0.933328175018982,0.915864142985174,0.678901461591793,0.356058643790044,0.453334989116512,0.253104794495304,0.419377642201154,0.414284185196352,0.352114735850159,0.353858675281019,-0.030213537691461,0.283924853850847,0.684063734708758,30,80
72,1971,1,6.61,50,83,0,13,19.45,25.07,27.13,600.06,NA,NA,27.4,0,1,0.1289,0.25,28,NA,NA,NA,-0.726900408307509,-1.13024538940824,-0.800927542719013,-0.411945532616584,-0.254881728927795,-0.525677648856319,-0.332377726096257,-0.195950355699221,-0.203928423012107,-0.252086519103873,0.33395872179077,0.298496478696295,0.266294166305406,0.338519977214616,0.290775031657071,0.212294389013662,0.0649626711651923,0.0942698677177951,0.0936919191898022,-0.472138174287382,-0.147379219052157,-0.146318016393758,30,77
73,1971,1,6.61,50,83,0,13,17.22,22.57,20.24,670.84,0.32,0.02,27.4,0,1,0.1472,0.625,28,NA,NA,NA,NA,NA,NA,-0.692520914664853,-0.927582151998133,-1.00600215449711,-1.11364483457803,-0.48254807260383,-0.538651339945331,-0.672085732499373,-0.501281300268397,-0.0211337376828997,0.0343610731950978,-0.0766429673874218,0.273558315102147,-0.0183093162780021,-0.226539235005323,-0.183472886877921,-0.186410269517082,-0.867816940657101,-0.523276876410155,-0.789482165348646,30,79
78,1971,1,6.61,50,83,0,13,24.16,28.99,31.37,452.86,NA,NA,27.4,0,1,0.1062,0.1875,28,NA,NA,-0.487913047844114,-0.298603041062292,-0.282839487095357,0.659902889771324,0.726449198433393,0.0140320413829342,-0.123375142469089,-0.155205406745526,-0.370749470468702,0.0178843317333122,0.0487959732106864,-0.0536623582302456,0.10342366383996,0.386949796688911,0.0983989031835568,-0.203831661435719,-0.177125735230042,-0.184971717004506,-0.177186815456274,-0.175565071661484,-0.0532689148740091,0.230185647923286,0.15344936046935,30,82
81,1971,1,6.61,50,83,0,13,35.54,38.97,29.84,529.09,NA,NA,27.4,0,1,0.0737,0.25,28,NA,NA,NA,-0.580847079067349,-0.469927048970709,-0.709269194525074,-0.525705181205464,-0.740342579470203,-0.875679742972377,-0.25291455698368,-0.035309344949499,-0.381697110691566,0.0192128047400777,0.165851878708222,0.743466087450583,0.609218085121626,0.590081477485829,0.283922675765333,0.341960330131307,0.251912304268737,0.269955696324956,0.265230497432873,-0.491039427923612,0.121559348916123,0.426161482502119,30,84
82,1971,1,6.61,50,83,0,13,68.84,68.84,-36.79,248.98,2.14,0.52,27.4,0,1,0.0371,0.0625,28,0.39314282995499,0.619336848813194,0.600581274967125,0.680071388144055,0.480880980592232,0.366187885326183,-0.303474633812557,-0.286728839234992,-0.580105756018471,-1.11190244711487,-0.848599705571061,-0.510875364792419,-0.80126302318602,-1.01115382627323,-1.05491321721577,-1.045845579597,-1.11426620223838,-0.925994455533775,-0.879276346905439,-0.931394538414573,-0.922720652620097,-0.926585303637859,-0.110365524840315,-0.074768579142787,-0.745867041027608,30,85
83,1971,1,6.61,50,83,0,13,52.64,52.64,-9.37,421.44,0.32,0.32,27.4,0,1,0.0504,0.25,28,NA,NA,NA,-0.432876167050501,-0.424820453519446,-0.61631648725638,-0.246920208457049,-0.401053217751397,0.188184872229197,-0.0891235179164123,-0.214007882458586,-0.523353475410803,-0.373270405886645,0.227648728867247,0.0131457641887569,-0.0667301423866218,-0.405961999184421,-0.428059248777663,-0.282525817956326,-0.282067014356368,-0.264580961840962,-0.27325906077641,-0.344885867571798,-0.410071551874574,-0.619508173146669,30,87
87,1971,1,6.61,50,83,0,13,30.7,30.7,-4.38,667.13,0.32,0.02,27.4,0,1,0.0913,0.375,28,NA,NA,NA,NA,NA,-0.760328634555481,-0.558700412146385,-0.8305970825286,-0.517127933569732,-0.690372301612552,-0.332120965696233,-0.0560758080072974,0.223588446609915,0.904954227478781,0.848169743422098,0.70508886295411,0.45409383072773,0.453285708801022,0.531339953735888,0.408466895081141,0.46825911047738,0.458566683973602,-0.492576638915261,0.320984689606671,0.746979707469168,30,68
91,1971,1,6.61,50,83,0,13,61.72,61.73,0.74,487.23,0.32,0.32,27.4,0,1,0.0422,0.375,28,NA,NA,NA,NA,NA,-0.792380129206129,-0.462353918303156,-0.469431630278258,-0.403008498186937,0.115526374235119,0.476810443378777,0.442328701403755,0.611137525455583,0.524224875453625,0.0817467628565924,0.237736758260983,0.0345914422391576,-0.142983194992722,-0.0625225202052118,-0.0225816696136634,0.00702671897003615,0.00497108304529315,-0.357170255097308,0.0941662682813609,0.305742101810353,30,95
92,1971,1,6.61,50,83,0,13,68.38,70.23,56.87,347.67,NA,NA,27.4,0,1,0.0366,0.125,18.4,NA,-0.429665030767343,-0.522191919524586,-0.708476530885405,-0.909598540698854,-1.1618987913867,-1.15937325611653,-1.31574207457232,-1.56899853112626,-1.75489842775814,-1.43226199439062,-0.62030797235806,-0.808264724699511,-0.720936561727896,-0.637325691128822,-0.132847468840885,-0.207682961071621,-0.560369988334311,-0.753507897891333,-0.775709826043079,-0.780311833590805,-0.775796375658945,-0.988966420631225,-1.24648216862212,-2.14357104405739,30,149
93,1971,1,6.61,50,83,0,13,39.45,39.45,-22.94,298.68,5.02,0.4,27.4,0,1,0.0791,0.125,16,NA,0.0484870115551521,0.341894952961269,0.22611460031561,-0.235756744393406,-0.552909377601698,-0.609069627586011,-0.954641741000736,-0.682918849697938,-0.575655036631437,-0.346459799123793,-0.374412782539311,-0.0910065554212465,0.219807110567657,0.263742887520572,0.2169499561731,-0.177047187495629,-0.0764897923397641,-0.100513257687228,-0.0920044187859417,-0.0857581387153341,-0.0772228580566114,-0.236380705663072,-0.269460950078005,-0.438666299022504,30,96
94,1971,1,6.61,50,83,0,13,61.64,62.23,23.83,486,NA,NA,27.4,0,1,0.0418,0.25,24,NA,NA,NA,-0.554475207029496,-0.79603479736907,-0.817080471515412,-0.755578562436928,-0.419133929040411,-0.702881006909123,-0.108139871776738,0.0142397025337413,0.135452409340968,-0.0780588986435244,0.0903747766526894,-0.213242656164522,-0.0749022865978644,-0.280714679031207,-0.231227452024013,-0.293622918964231,-0.25524238788643,-0.253194458213752,-0.245538472489245,-0.101919349894513,-0.472566394986599,-0.539215877517614,30,99
121,1976,4,6.5,11.8,80,2.3,5.1,49.13,49.38,13.43,496.46,NA,NA,13.7,0,1,0.0385,0.15,24,NA,NA,-0.722415136781757,-0.538170836678875,-0.514106372119143,-1.15856248601926,-1.25305247090863,-1.06627165209225,-0.979616551148863,-1.40178853135053,-1.1714053609761,-1.37304994818923,-0.91263316665262,-0.515424950157009,-0.226929888191806,-0.531303301862033,-0.0010854410005452,-0.360821460459483,-0.558007350658148,-0.719320552193222,-0.738100159165937,-0.736246393174711,-0.941222446112884,-1.36914759522363,-1.98512000026413,40,250
122,1976,4,6.5,11.8,80,2.3,5.1,33.32,33.4,-21.18,249.28,NA,NA,13.7,0,1,0.0595,0.125,20,NA,-0.378971872057082,-0.287709341651983,-0.472297742244484,-0.396671682114576,-0.0403309078260223,0.0885942587465069,0.0770956070303557,0.367288894088847,-0.197239025495539,-0.281983231316322,-0.370877067336893,-0.255338481407113,-0.605052651485753,-0.55435424638501,-0.111573620821722,-0.0653146164123379,-0.283689433986893,-0.439246226695285,-0.458384798729641,-0.440639618740043,-0.428896653049903,-0.117432986566916,-0.134599073265179,-0.322333026062627,40,251
125,1976,4,6.5,11.8,80,2.3,5.1,14.97,15.82,23.54,505.23,NA,NA,13.7,0,1,0.1386,0.1625,24,NA,NA,-0.412992748765151,-0.286464519278022,-0.192660201167508,-0.105885448883276,0.243505550495531,0.610563247983757,0.999032756147322,1.11291839946653,0.782247186813206,0.636275695512081,0.803197562914514,0.408473509434607,0.586855633985183,0.305292137920878,0.26674378878023,0.338310704494692,0.42114324831711,0.452627776843529,0.480990727790785,0.495454858215109,0.445682974285628,0.171958792789716,0.89402374350092,40,254
126,1976,12,6.8,58,90,3.8,18.2,3.92,5.46,-3.92,259.59,NA,NA,17,0,1,0.6276,0.25,30.4,NA,NA,NA,0.146981145171753,-0.388271475955154,-0.195682957271012,-0.204208763926387,-0.214814282161194,0.0577267543193914,0.131630357477159,0.240980805394885,0.136008135591167,0.0346784114087735,0.294204171314685,0.474419062566394,0.916605737884863,1.28402387810049,1.19982964553786,1.03981308193949,0.617187357068472,0.430307099058701,0.357514728368089,-0.146816595451557,-0.094705892289153,0.319952120189752,41,260
138,1978,5,7.35,25,110,1,5.75,24.07,28.79,55.79,324.57,NA,NA,35,0,1,0.1073,0.15625,16,NA,NA,-0.0863404824798542,-0.0141195818296564,-0.10111625196852,-0.081223856086079,0.0161918022759595,-0.414804134993368,-0.459688539821878,-0.106544893243179,-0.299460892415134,-0.524013673798096,-0.47252695328013,-0.493106861130528,-0.291065823812848,-0.499594202426684,-0.588707706069993,-0.55633749214845,-0.474231695170281,-0.454070486193521,-0.441640075475625,-0.441623519666754,-0.375375075151144,-0.653369314513267,-0.829415114359549,46,57
139,1978,5,7.35,25,110,1,5.75,0,13.94,30.83,471.53,NA,NA,35,0,1,0.5165,0.25,12,NA,NA,NA,-0.331251447864021,-0.601433987514273,-0.761476578696321,-1.00284514419231,-0.914023504120036,-0.897586744091384,-0.715842590169664,-0.402252388698709,-0.801441243308543,-0.682670087101641,-0.281668823983856,-0.234776066213396,-0.371602498999037,-0.616685292280055,-0.726567206563823,-0.577510516577661,-0.583551630474337,-0.546960739233015,-0.563925777206293,-0.778855101176169,-0.959947888695842,-1.41328122061163,46,259
143,1978,5,7.35,25,110,1,5.75,1.79,2.05,-1.79,766.77,NA,0.021,35,0,1,0.3572,0.125,12,NA,1.03719783174918,1.46885217439168,1.23801342331011,0.923721704495186,1.01926519903336,0.524880917038667,0.53612056055453,1.18825240204289,0.849963122250008,0.657994372748404,0.553547685314038,1.07975614349613,0.839301382241113,0.823836076330499,0.538100164844489,0.363022559208094,0.0718883437146924,0.269534292636708,0.370689873782967,0.422933822013582,0.3913810450234,0.638754131695752,0.738609481749601,1.55221168506277,46,258
145,1979,1,5.74,80,176,3.08,8,5.3,6.13,-1.6,561.43,0.8264,0.5534,7,0,0,0.2234,0.25,32,NA,NA,NA,-0.651381221257473,-0.537467231955072,-0.330640607682406,-0.1160095082401,-0.150026505469646,0.189383349580728,0.479001745616256,0.380865125542012,-0.245605396984054,-0.580007951598167,-0.660907503343915,-0.592268702106007,-0.660664281046977,-0.736073212594677,-0.573929085399827,-0.393103661591318,-0.331528952070354,-0.300151150724584,-0.308667639370185,0.0128301334972467,-0.187356765170187,-0.472298011004139,48,449
146,1979,1,5.74,80,176,3.08,8,10.21,10.67,-9.95,1428.14,0.8222,0.003,7,0,0,0.1441,0.15,26.4,NA,NA,0.286123005697719,0.200992955567517,0.420438365342001,0.488459093528608,0.553613571498979,0.570282317339982,0.409544356939022,-0.323834031761075,-0.358575294908113,0.00170722795560796,-0.196410445623541,0.116296717430163,-0.177771217322816,0.0833767755024708,-0.115810370951956,-0.0788317751158754,-0.221060747594862,-0.228788035908751,-0.237172265191721,-0.232650121029227,0.364542797993356,0.0130302974621669,-0.1035425228447,48,424
147,1979,1,5.74,80,176,3.08,8,8.47,9.02,-8.25,270.84,0.7995,0.198,7,0,0,0.1681,0.1625,34.4,NA,NA,-0.347698377099192,-0.185599903060981,0.0265223966895904,0.385761174532283,0.538256237055923,0.387495109520077,0.29511493573939,-0.0354266769548004,0.366985918483176,0.366735896766559,0.13460835829941,0.379713099013504,0.538576121447973,0.320809154792644,0.2371908255405,0.223194349268421,0.0748813411243781,0.10139706757624,0.0810638704275393,0.0842473034951459,0.390222954559007,-0.152406209114192,-0.0619852658437006,48,425
148,1979,1,5.74,80,176,3.08,8,6.75,7.42,-6.4,349.85,0.7996,0.4989,7,0,0,0.1965,0.1625,32,NA,NA,-0.00519206473059075,0.127017382639533,0.315164757779444,0.537758738523543,0.455296569824944,0.845629284649642,0.368252998910934,-0.115006022752441,0.0965737189364984,0.128054462648351,-0.145791424600146,-0.207751262508611,0.242192702041252,0.0744272596389735,-0.0666519318409624,-0.0918188464356757,-0.111959342847987,-0.0786910402668939,-0.0810247132882425,-0.0848242903201903,0.278585308756651,-0.0870132969538558,-0.177145566037937,48,426
149,1979,1,5.74,80,176,3.08,8,4.79,5.7,-4.63,221.78,0.7921,0.5207,7,0,0,0.2332,0.15,24,NA,NA,-0.686322723812854,-0.373342488397265,-0.455346575878541,-0.17378170060539,0.163566568387314,0.394070070706011,0.230694847712025,0.206046158979758,0.296769438285222,0.236646970338842,-0.0756844245294568,-0.200431191892092,-0.445851362040404,-0.436537771153498,-0.425847571934865,-0.319620563855504,-0.26696445577049,-0.242812413430745,-0.225414208339692,-0.233675881399309,0.116910379666343,-0.0477298917782489,-0.37453189550237,48,450
150,1979,1,5.74,80,176,3.08,8,0.42,3.11,-0.41,663.31,1.5899,0.318,7,0,0,0.2939,0.125,26.4,NA,0.441809130492381,0.228454881647812,0.309464918516893,0.51645486150048,0.804588114135472,0.744685611592107,0.832506287631707,0.746549713750559,0.49257743306117,0.523431832426539,0.314595766355957,-0.0267409378069552,-0.285675012749098,-0.594024187949265,-0.724895869209332,-0.687377007397565,-0.535801518046804,-0.352697925322254,-0.248365560697257,-0.211137232354186,-0.235566314410012,0.422868251651758,-0.0125480095867432,0.0486723535865684,48,451
151,1979,1,5.74,80,176,3.08,8,33.69,33.83,-4.88,281.61,3.4658,0.3421,7,0,0,0.0385,0.375,16,NA,NA,NA,NA,NA,-0.633810577509598,-0.524473444928064,-0.0805961663366692,-0.345314225373353,-0.447361316691067,0.199262960845796,-0.27292581816481,-0.159121583514749,-0.353315588544529,-0.839735841982863,-0.796007319411185,-0.740576222161764,-0.522898790066294,-0.400364640098421,-0.384421282721608,-0.381563354292568,-0.376862154120182,-0.390844734533685,-0.236709307374444,-0.652132242692104,48,448
152,1979,1,5.74,80,176,3.08,8,20.44,20.67,-15.47,367.43,0.2206,0.125,7,0,0,0.0695,0.25,40,NA,NA,NA,-0.444212532605269,-0.093633362097675,-0.0776459843796014,0.0990113073119296,0.308276489168637,0.534412436343474,0.815498614938198,0.655295788434338,0.213398261326041,-0.202184624192475,0.102639191285901,-0.353904426033454,-0.181693590837756,-0.206744307534126,0.164882278133535,0.247571900321322,0.175553297347966,0.128006867921651,0.125400759215461,0.201321196404936,-0.015893525876413,0.149317412580058,48,421
153,1979,1,5.74,80,176,3.08,8,20.44,20.67,-15.47,362.98,0.2206,0.125,7,0,0,0.0695,0.25,48,NA,NA,NA,-0.310972542221109,-0.0603594264642089,-0.113384606185646,0.0668597584348025,0.261284856570237,0.442962654411291,0.676826410196843,0.423313562911124,0.055598146604884,-0.195015800420084,-0.0598733509586364,-0.543060716192032,-0.301015385553486,-0.361183574443654,-0.241028457902036,0.13706333934363,-0.0322284653510092,-0.0138275587488894,-0.00865116109256858,0.162751689770152,-0.11949925768316,-0.0602416587242569,48,422
154,1979,1,5.74,80,176,3.08,8,19.46,19.7,-12.47,335.5,3.3442,0.594,7,0,0,0.0754,0.125,18.4,NA,-0.328776066007912,-0.402731389523082,0.0348134707472791,0.0580791688679829,-0.037813336374994,0.195552171716526,0.186614754120229,0.420581512068448,0.417507146612177,0.296072677977414,-0.0558169558052928,0.106806798822035,0.0526593167736276,-0.396084163327984,-0.2286473787147,-0.403252471915278,-0.193609994568168,-0.0629862166938615,-0.0291010146617681,-0.0175562201980073,-0.00955376498686045,0.00590382609455897,0.0475672858349812,0.148630298430931,48,418
